Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
165,2018,March 16 2018,South,First Round,7 Nevada,87,10 Texas,83,OT,+4,Nashville TN
166,2018,March 16 2018,Midwest,First Round,4 Auburn,62,13 College of Charleston,58,,+4,San Diego CA
167,2018,March 16 2018,South,First Round,16 UMBC,74,1 Virginia,54,,+20,Charlotte NC
168,2018,March 16 2018,West,First Round,7 Texas A&M,73,10 Providence,69,,+4,Charlotte NC
169,2018,March 16 2018,Midwest,First Round,11 Syracuse,57,6 TCU,52,,+5,Detroit MI
170,2018,March 16 2018,East,First Round,10 Butler,79,7 Arkansas,62,,+17,Detroit MI
171,2018,March 16 2018,South,First Round,2 Cincinnati,68,15 Georgia State,53,,+15,Nashville TN
172,2018,March 16 2018,Midwest,First Round,5 Clemson,79,12 New Mexico State,68,,+11,San Diego CA
173,2018,March 16 2018,East,First Round,13 Marshall,81,4 Wichita State,75,,+6,San Diego CA
174,2018,March 16 2018,West,First Round,2 UNC,84,15 Lipscomb,66,,+18,Charlotte NC
175,2018,March 16 2018,South,First Round,9 Kansas State,69,8 Creighton,59,,+10,Charlotte NC
176,2018,March 16 2018,East,First Round,5 West Virginia,85,12 Murray State,68,,+17,San Diego CA
177,2018,March 16 2018,Midwest,First Round,3 Michigan State,82,14 Bucknell,78,,+4,Detroit MI
178,2018,March 16 2018,West,First Round,9 Florida State,67,8 Missouri,54,,+13,Nashville TN
179,2018,March 16 2018,East,First Round,2 Purdue,74,15 Cal State Fullerton,48,,+26,Detroit MI
180,2018,March 16 2018,West,First Round,1 Xavier,102,16 Texas Southern,83,,+19,Nashville TN
181,2018,March 15 2018,East,First Round,9 Alabama,86,8 Virginia Tech,83,,+3,Pittsburgh PA
182,2018,March 15 2018,East,First Round,1 Villanova,87,16 Radford,61,,+26,Pittsburgh PA
183,2018,March 15 2018,East,First Round,3 Texas Tech,70,14 Stephen F. Austin,60,,+10,Dallas TX
184,2018,March 15 2018,Midwest,First Round,8 Seton Hall,94,9 NC State,83,,+11,Wichita KS
185,2018,March 15 2018,South,First Round,13 Buffalo,89,4 Arizona,68,,+21,Boise ID
186,2018,March 15 2018,West,First Round,6 Houston,67,11 San Diego State,65,,+2,Wichita KS
187,2018,March 15 2018,South,First Round,11 Loyola (IL),64,6 Miami (FL),62,,+2,Dallas TX
188,2018,March 15 2018,Midwest,First Round,7 Rhode Island,83,10 Oklahoma,78,OT,+5,Pittsburgh PA
189,2018,March 15 2018,West,First Round,5 Ohio State,81,12 South Dakota State,73,,+8,Boise ID
190,2018,March 15 2018,Midwest,First Round,2 Duke,89,15 Iona,67,,+22,Pittsburgh PA
191,2018,March 15 2018,West,First Round,3 Michigan,61,14 Montana,47,,+14,Wichita KS
192,2018,March 15 2018,East,First Round,6 Florida,77,11 St. Bonaventure,62,,+15,Dallas TX
193,2018,March 15 2018,South,First Round,3 Tennessee,73,14 Wright State,47,,+26,Dallas TX
194,2018,March 15 2018,Midwest,First Round,1 Kansas,76,16 Penn,60,,+16,Wichita KS
195,2018,March 15 2018,South,First Round,5 Kentucky,78,12 Davidson,73,,+5,Boise ID
196,2018,March 15 2018,West,First Round,4 Gonzaga,68,13 UNC Greensboro,64,,+4,Boise ID
197,2018,March 14 2018,West,First Four,16 Texas Southern,64,16 North Carolina Central,46,,+18,Dayton OH
198,2018,March 14 2018,Midwest,First Four,11 Syracuse,60,11 Arizona State,56,,+4,Dayton OH
199,2018,March 13 2018,East,First Four,11 St. Bonaventure,65,11 UCLA,58,,+7,Dayton OH
200,2018,March 13 2018,East,First Four,16 Radford,71,16 LIU,61,,+10,Dayton OH
201,2017,April 3 2017,National,National Final,1 UNC,71,1 Gonzaga,65,,+6,Glendale AZ
202,2017,April 1 2017,National,National Semifinal,1 Gonzaga,77,7 South Carolina,73,,+4,Glendale AZ
203,2017,April 1 2017,National,National Semifinal,1 UNC,77,3 Oregon,76,,+1,Glendale AZ
204,2017,March 26 2017,South,Regional Final,1 UNC,75,2 Kentucky,73,,+2,Memphis TN
205,2017,March 26 2017,East,Regional Final,7 South Carolina,77,4 Florida,70,,+7,New York NY
206,2017,March 25 2017,West,Regional Final,1 Gonzaga,83,11 Xavier,59,,+24,San Jose CA
207,2017,March 25 2017,Midwest,Regional Final,3 Oregon,74,1 Kansas,60,,+14,Kansas City MO
208,2017,March 24 2017,East,Regional Semifinal,4 Florida,84,8 Wisconsin,83,OT,+1,New York NY
209,2017,March 24 2017,South,Regional Semifinal,2 Kentucky,86,3 UCLA,75,,+11,Memphis TN
210,2017,March 24 2017,South,Regional Semifinal,1 UNC,92,4 Butler,80,,+12,Memphis TN
211,2017,March 24 2017,East,Regional Semifinal,7 South Carolina,70,3 Baylor,50,,+20,New York NY
212,2017,March 23 2017,West,Regional Semifinal,1 Gonzaga,61,4 West Virginia,58,,+3,San Jose CA
213,2017,March 23 2017,Midwest,Regional Semifinal,1 Kansas,98,4 Purdue,66,,+32,Kansas City MO
214,2017,March 23 2017,Midwest,Regional Semifinal,3 Oregon,69,7 Michigan,68,,+1,Kansas City MO
